country,population,co2,co2_per_capita,cumulative_co2,land_use_change_co2,land_use_change_co2_per_capita,share_global_co2,share_global_cumulative_co2,share_of_temperature_change_from_ghg
Afghanistan,40099460,11.874,0.296,217.993,0.366,0.009,0.032,0.013,0.083
Africa,1393676724,1450.796,1.041,49133.684,1160.682,0.833,3.908,2.829,9.186
Albania,2854710,4.619,1.618,293.839,-0.037,-0.013,0.012,0.017,0.024
Algeria,44177964,176.269,3.99,4862.567,2.052,0.046,0.475,0.28,0.406
Andorra,79057,0.453,5.729,15.484,0,0,0.001,0.001,0.001
Angola,34503776,21.363,0.619,657.116,68.92,1.997,0.058,0.038,0.419
Anguilla,15779,0.145,9.173,3.588,0,0,0,0,0
Antigua and Barbuda,93229,0.469,5.027,22.002,0,0,0.001,0.001,0.001
Argentina,45276788,186.448,4.118,8636.5,31.62,0.698,0.502,0.497,1.16
Armenia,2790971,6.806,2.439,383.291,0.476,0.171,0.018,0.022,0.022
Asia,4693332132,21688.25,4.622,557587.25,2094.196,0.446,58.421,32.102,35.668
Australia,25921094,391.187,15.091,18968.83,7.951,0.307,1.054,1.092,1.535
Austria,8922086,64.626,7.243,5571.7,-2.235,-0.251,0.174,0.321,0.184
Azerbaijan,10312992,38.493,3.732,2530.484,7.584,0.735,0.104,0.146,0.137
Bahamas,407920,2.386,5.85,171.632,-0.037,-0.09,0.006,0.01,0.006
Bahrain,1463266,39.016,26.664,972.275,0,0,0.105,0.056,0.094
Bangladesh,169356240,93.176,0.55,1650.25,19.492,0.115,0.251,0.095,0.459
Barbados,281204,1.125,4.002,56.11,-0.147,-0.521,0.003,0.003,0.002
Belarus,9578172,59.602,6.223,5007.977,-3.554,-0.371,0.161,0.288,0.3
Belgium,11611416,95.722,8.244,12644.15,3.151,0.271,0.258,0.728,0.429
Belize,400037,0.689,1.723,19.833,2.895,7.236,0.002,0.001,0.009
Benin,12996901,7.756,0.597,119.036,11.578,0.891,0.021,0.007,0.054
Bhutan,777500,1.522,1.958,19.719,6.595,8.483,0.004,0.001,0.018
Bolivia,12079474,23.322,1.931,577.561,13.63,1.128,0.063,0.033,0.292
Bonaire Sint Eustatius and Saba,26730,0.103,3.868,8.627,0,0,0,0,0
Bosnia and Herzegovina,3270948,13.566,4.148,964.362,0.073,0.022,0.037,0.056,0.057
Botswana,2588424,6.5,2.511,156.471,-0.183,-0.071,0.018,0.009,0.041
Brazil,214326224,488.881,2.281,16672.438,992.981,4.633,1.317,0.96,4.871
Brunei,445382,10.481,23.532,371.266,1.136,2.55,0.028,0.021,0.03
Bulgaria,6885864,42.56,6.181,3873.285,-4.946,-0.718,0.115,0.223,0.16
Burkina Faso,22100690,5.698,0.258,74.569,3.408,0.154,0.015,0.004,0.09
Burundi,12551215,0.693,0.055,13.827,4.287,0.342,0.002,0.001,0.034
Cambodia,16589031,19.029,1.147,185.28,29.898,1.802,0.051,0.011,0.152
Cameroon,27198632,9.297,0.342,242.587,27.773,1.021,0.025,0.014,0.179
Canada,38155012,545.635,14.3,34115.395,110.36,2.892,1.47,1.964,2.074
Cape Verde,587936,0.668,1.136,15.299,-0.11,-0.187,0.002,0.001,0.001
Central African Republic,5457165,0.227,0.042,10.814,3.591,0.658,0.001,0.001,0.077
Chad,17179744,1.94,0.113,36.605,20.189,1.175,0.005,0.002,0.158
Chile,19493184,85.447,4.383,2996.752,30.888,1.585,0.23,0.173,0.254
China,1425893504,11472.368,8.046,249352.812,327.598,0.23,30.903,14.356,12.336
Colombia,51516560,91.703,1.78,3503.543,128.46,2.494,0.247,0.202,0.819
Comoros,821632,0.298,0.363,5.63,-0.037,-0.045,0.001,0,0.002
Congo,5835814,7.464,1.279,110.436,18.906,3.24,0.02,0.006,0.113
Costa Rica,5153959,7.82,1.517,261.266,-0.22,-0.043,0.021,0.015,0.062
