Entity,Percent Electric,Percent Plug-in Hybrid,Percent Hybrid,Percent Gasoline,Percent Diesel
Austria,3%,1%,4%,53%,40%
Belgium,2%,2%,4%,62%,31%
Denmark,2%,2%,6%,63%,27%
Finland,2%,5%,12%,62%,19%
France,2%,1%,4%,58%,35%
Germany,2%,1%,4%,59%,34%
Greece,0%,0%,5%,68%,27%
Ireland,3%,1%,9%,40%,46%
Italy,1%,0%,5%,53%,41%
Luxembourg,2%,2%,4%,50%,44%
Netherlands,14%,1%,6%,71%,8%
Norway,42%,14%,12%,16%,16%
Portugal,3%,3%,4%,50%,40%
Spain,1%,1%,8%,58%,33%
Sweden,4%,7%,10%,45%,34%
Switzerland,4%,1%,6%,60%,28%
Turkey,0%,0%,3%,46%,51%
United Kingdom,2%,2%,7%,64%,27%
