,COUNTY,STATE,LENDERS,POPULATION,PERCENT_WHITE,PERCENT_BLACK,PERCENT_HISPANIC,MEDIAN_INCOME,PERCENT_HIGH_SCHOOL_OR_ABOVE,LENDERS_PER_100000_PEOPLE
1,Baldwin County,Alabama,16,239294,82.9,8.9,4.8,63866,66.3,6.69
2,Calhoun County,Alabama,12,115972,70.8,19.4,4.2,46524,58.1,10.35
3,Cullman County,Alabama,4,89496,91.5,1.2,4.7,55517,60.9,4.47
4,DeKalb County,Alabama,6,71813,82,1.6,15.8,41800,53.1,8.36
5,Elmore County,Alabama,3,89304,74,21.3,3.1,59032,59.9,3.36
6,Etowah County,Alabama,7,103162,77,14.3,4.6,45298,60,6.79
7,Houston County,Alabama,10,107458,65.1,27.4,3.6,46931,61.7,9.31
8,Jefferson County,Alabama,48,667820,48.9,43,4.3,55006,61.7,7.19
9,Lauderdale County,Alabama,5,94043,84.1,7.1,3.1,50218,60.6,5.32
10,Lee County,Alabama,8,177218,67.8,21.7,3.9,52424,57.5,4.51
11,Limestone County,Alabama,5,107517,75.9,9.3,6.5,66796,58,4.65
12,Madison County,Alabama,21,395211,64.8,23.4,5.5,78525,65,5.31
13,Marshall County,Alabama,10,98228,82.1,3,15.6,50191,54.6,10.18
14,Mobile County,Alabama,37,413073,55.9,36.1,3.1,49721,60.2,8.96
15,Montgomery County,Alabama,19,227434,31.9,59.4,3.9,50385,59.2,8.35
16,Morgan County,Alabama,8,123668,74.3,12.7,9,55286,58.9,6.47
17,St. Clair County,Alabama,7,92748,NA,N,0.4,60433,60.5,7.55
18,Shelby County,Alabama,7,226902,76.6,11.1,6,84260,65.1,3.09
19,Talladega County,Alabama,5,81524,62.1,30.3,2.6,45063,60.5,6.13
20,Tuscaloosa County,Alabama,12,227007,60.4,32.3,4.2,56559,57.7,5.29
21,Anchorage Municipality,Alaska,4,288121,57,5.1,9.7,86654,63,1.39
22,Fairbanks North Star Borough,Alaska,0,95593,69.3,4.1,8.4,72149,61.8,0
23,Matanuska-Susitna Borough,Alaska,0,110686,76.5,1,5.6,78856,61.6,0
24,Apache County,Arizona,0,65623,19.1,2,7.1,40628,55.9,0
25,Cochise County,Arizona,4,126050,62.1,3.2,35.9,56600,62.1,3.17
26,Coconino County,Arizona,5,145052,54.2,1.4,14.9,64533,55.1,3.45
27,Maricopa County,Arizona,190,4496588,58,5.6,32,76247,60.5,4.23
28,Mohave County,Arizona,10,217692,79.6,1.3,17.7,46616,68.5,4.59
29,Navajo County,Arizona,3,108147,45.1,0.8,12.1,49449,58.2,2.77
30,Pima County,Arizona,29,1052030,58.1,3.6,38.5,60667,61.8,2.76
31,Pinal County,Arizona,10,449557,62.7,4.9,31.4,70993,62.5,2.22
32,Yavapai County,Arizona,9,242253,80,0.5,15.3,57230,70.6,3.72
33,Yuma County,Arizona,11,206990,33.9,1.5,65.5,57304,49.9,5.31
34,Benton County,Arkansas,8,293692,60.7,1.9,17.6,78691,59.6,2.72
35,Craighead County,Arkansas,0,112218,73.6,15.6,5.5,50186,57,0
36,Faulkner County,Arkansas,0,125106,79.8,11.5,4.5,55635,59.7,0
37,Garland County,Arkansas,0,100330,84.6,7.7,6.4,47694,67.1,0
38,Jefferson County,Arkansas,0,65861,37.9,55.9,2.5,48499,61.1,0
39,Lonoke County,Arkansas,0,74722,85.8,5.5,5,63641,61.1,0
40,Pulaski County,Arkansas,7,397821,51.4,37.5,6.5,52479,62.4,1.76
41,Saline County,Arkansas,0,125233,83.5,9.4,5.7,67345,65.4,0
42,Sebastian County,Arkansas,0,128400,69.4,5.6,15.4,47874,57.5,0
43,Washington County,Arkansas,0,250057,64.5,3.1,17.5,65125,54.9,0
44,White County,Arkansas,0,77207,85.1,2.8,4.8,51402,56.2,0
45,Alameda County,California,54,1648556,30.8,9.8,22.4,109729,64,3.28
46,Butte County,California,12,208309,72.1,2,18.4,64738,59.7,5.76
47,Contra Costa County,California,36,1161413,42.9,8.7,26.8,111080,62.7,3.1
48,El Dorado County,California,5,193221,76.3,0.8,13.8,87491,70.6,2.59
49,Fresno County,California,60,1013581,33.2,4.3,54.7,63656,49.2,5.92
50,Humboldt County,California,5,136310,70.1,1.2,12.9,54752,64.6,3.67
51,Imperial County,California,12,179851,16.8,2.8,85.8,51809,45.5,6.67
52,Kern County,California,35,917673,45.2,5.1,56.1,58217,47.2,3.81
53,Kings County,California,7,153443,36.2,7,56.6,62155,47.6,4.56
54,Lake County,California,4,68766,69.4,2.1,23.9,61221,61.7,5.82
55,Los Angeles County,California,559,9829544,29.6,7.6,49.1,77456,56.3,5.69
56,Madera County,California,8,159410,38.1,2.5,60.2,63454,45.7,5.02
57,Marin County,California,6,260206,69.7,2.2,16.8,118209,68.9,2.31
58,Mendocino County,California,3,91305,64.2,1.3,27.2,59444,60.4,3.29
59,Merced County,California,13,286461,30.2,3,62.5,53992,42.7,4.54
60,Monterey County,California,16,437325,32,2.4,60.4,82163,47.7,3.66
61,Napa County,California,0,136207,56.1,1.9,35.6,97213,60.2,0
62,Nevada County,California,3,103487,83,0.3,10.1,79519,73.6,2.9
63,Orange County,California,150,3167809,43,1.8,34.1,100559,61,4.74
64,Placer County,California,8,412300,70.5,1.4,15.2,103659,66.5,1.94
65,Riverside County,California,91,2458395,36.1,6.4,51.6,79024,55,3.7
66,Sacramento County,California,77,1588921,44.7,9.9,24.4,80063,60.3,4.85
67,San Bernardino County,California,100,2194710,33,7.9,55.8,74846,52.7,4.56
68,San Diego County,California,120,3286069,47.9,4.7,34.8,91003,61,3.65
69,San Francisco County,California,32,815201,39,5.3,15.7,121826,70.9,3.93
70,San Joaquin County,California,34,789410,31.3,6.7,43,80681,50.7,4.31
71,San Luis Obispo County,California,10,283159,70,1.2,23.8,80615,62.6,3.53
72,San Mateo County,California,19,737888,38.9,2.4,24,131796,66.2,2.57
73,Santa Barbara County,California,11,446475,47.5,1.9,47.2,84846,51.8,2.46
74,Santa Clara County,California,52,1885508,30.4,2.4,25,141562,63.2,2.76
75,Santa Cruz County,California,14,267792,57.8,0.9,34.4,93933,59.2,5.23
76,Shasta County,California,11,182139,78.2,1.2,11.4,61125,64.9,6.04
77,Solano County,California,26,451716,38.7,12.6,28.6,87770,62.2,5.76
78,Sonoma County,California,15,485887,63.8,1.6,28.3,94295,65,3.09
