raw_row_number,date,time,location,lat,lng,district,age,race,sex,officer_id_hash,department_name,type,arrest_made,citation,warning_issued,outcome,contraband,search_conducted,search_vehicle,search_basis,reason_for_stop,raw_subject_race_code,raw_subject_ethnicity_code,raw_search_authorization_code,raw_intervention_disposition_code
1,10/13/13,15:21:00,LINNMORE ST AT ROGER,41.7321894,-72.69976,SOUTH WEST,38,hispanic,female,9623b482ee,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Stop Sign,W,H,N,I
2,10/24/13,01:12:00,HAWTHORN STREET @ IMLAY STREET,41.7646207,-72.6953618,ASYLUM HILL,20,black,male,616e63d3fb,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Defective Lights,B,N,N,I
3,10/26/13,10:06:00,NEW PARK MIRRILL,41.747837,-72.712933,PARKVILLE,26,white,female,9623b482ee,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Traffic Control Signal,W,N,N,I
4,10/26/13,18:06:00,nfew park at merrill st,41.748069,-72.7126412,PARKVILLE,26,white,female,5ac7b58482,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Traffic Control Signal,W,N,N,I
5,10/26/13,19:56:00,SUMMIT ST AT ZION ST,41.7539448,-72.693278,FROG HOLLOW,39,white,male,9623b482ee,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Stop Sign,W,N,N,I
7,10/26/13,21:57:00,LAUREL ST AT CAPITOL AV,41.7625116,-72.6969856,ASYLUM HILL,51,hispanic,male,9623b482ee,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Traffic Control Signal,W,H,N,I
6,10/26/13,22:08:00,RUSS ST AT PUTNAM S T,41.761622,-72.6904379,FROG HOLLOW,34,white,male,9623b482ee,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Stop Sign,W,N,N,I
8,10/29/13,13:18:00,FLATBUSH AV AT HILLSIDE,41.7443086,-72.698287,BEHIND THE ROCKS,24,hispanic,male,9623b482ee,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Moving Violation,W,H,N,I
9,10/29/13,13:50:00,HUDSON ST @ JEFFERSON,41.7554045,-72.6791031,SOUTH GREEN,37,white,female,172bfdfefb,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Cell Phone,W,N,N,I
10,10/30/13,11:57:00,BROAD AT MADISON,41.7544357,-72.6870839,FROG HOLLOW,42,black,female,9623b482ee,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Stop Sign,B,N,N,I
